V1: index,V9: Life Satisfaction,V10: How Feels abt Neighborhood,V12: Descript of Neighbhood,V15: Satisfaction w Police,V17: Satisfaction w Schools,V20: Probs w Drugs,V21: Get along w Police,V29: Current Religion,V31: Attend Church Frequency,V33: Importance of Church,V38: How Church most Helpful,V61: R U useful person,V62: R U person of worth,V67: Freq U feel bad abt self,V68: What Makes U Feel Bad,V71: Freq feel good abt U,V72: What makes U feel good,V75: U get what you hoped for?,V76: What hoped for in Life,V78: Better to Plan or Luck,V79: Do Plans Work or Change,V99: Do U have nervous condition,V100: Do nerves keep U from work?,V110: Who helps if U sick,V125: Ever gone to Pub Health Clinic,V126: Health Clinic helpful,V140: Covered by Insurance,V142: How hard to get health care,V146: Past month had $ probs,V148: Past month had job probs,V150: Past month had Family probs,V156: Past month was crime victim,V158: Past month had police prob,V162: Past month had racial probs,V163: Racial probs upsetting?,V301: Employment Status,V314: Pay scale,V315: Pay freq,V344: Job Satisfaction,V368: Poor treatment of Blacks at work,V860: Times Moved,V884: Is Family Close,V908: Marital Status,V947: Do U have a best friend,V962: U have children,V985: How well Done w Jobs,V987: How well Done as Spouse,V988: How well done as Parent,V994: How happy R U,V1011: Freq drink or get high,V1228: Have good friend who is white,V1243: Told child about white people,V1259: Did parents teach U about whites?,V1269: Sex discrim in US real?,V1403: Birth Year,V1411: Voted in last Pres Election,V1416: Closer to Rep or Dem?,V1429: U own your home?,V1434: School Grades Finished,V1444: Edu Summary,V1451: School Grades Finished Spouse,V1470: School Grades Finished Dad,V1475: School Grades Finished Mom,V1491: Racial comp of Neighborhood,V1494: Better or worse $$,V1499: Total Family Income,V1571: Your Birth Order,V1586: Your Sex M-F
1658,3: Some Dissat,2: Fairly Good,2: Some People Keep to Themselves but Others..,2: Somewhat Satisfied,2: Somewhat Satisfied,3: Not Too Serious,2: Fairly Well,80: None; No Preference,"0: Inap,..","0: Inap,..","00: Inap,..",2: Often True,2: Often True,3: Not Too Often,"00: Inap,..",2: Fairly Often,"62: Being a (Good) Parent, Providing for..",2: Gotten less than R Hoped for,02: Financial Security; Money; Be Rich; Well..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",02: (B) Son/Stepson,1: Yes,3: Only a Little,1: Yes,4: Not Hard at All,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",2: Laid off,"0000000: Inap,..","0: Inap,..",3: Somewhat Dissatisfied,5: No,"0: Inap,..",2: Fairly Close,2: Divorced,1: Yes,5,2: Fairly Well,"0: Inap,..",1: Very Well,2: Pretty Happy,3: Not Too Often,5: No,5: No,"0: Inap,..",5: No,1941,1: Yes,"0: Inap,..",1: Own Home or Buying it,12: Grade 12,"52: 12 Grades, Completed High School; ..","96: Inap,..",13: 13 Years (if R Indicates Parent/Parent ..,12: 12 Years,1: All Blacks,3: Worse,"11: $9,000-9,999",5,2: Female
1659,1: Very Satisf,1: Very Good,2: Some People Keep to Themselves but Others..,3: Somewhat Dissatisfied,3: Somewhat Dissatisfied,4: Not Serious at All,1: Very Well,10: (Methodist) CME,2: At Least Once a Week - 1 to 3 Times,1: Very Important,"58: Help if Sickness or Death in Family, Not..",2: Often True,2: Often True,3: Not Too Often,"00: Inap,..",2: Fairly Often,52: Helping Others/Altruism; R Giving..,1: Gotten Mostly What R Hoped for,22: Health; I Have Good..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,1: One Time,1: Very Close,1: Married,1: Yes,"00: Inap,..",1: Very Well,1: Very Well,"0: Inap,..",2: Pretty Happy,9: NA,5: No,"0: Inap,..",5: No,5: No,1909,1: Yes,"0: Inap,..",1: Own Home or Buying it,12: Grade 12,99: NA,16,12: 12 Years,13: 13 Years (if R Indicates Parent/Parent ..,2: Mostly Blacks,2: Same,"13: $12,000-14,999",99: NA,2: Female
1660,2: Some Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,4: Very Dissatisfied,4: Very Dissatisfied,3: Not Too Serious,2: Fairly Well,"12: Baptist, NA Type",3: A Few Times a Month - 1 to 3 Times,1: Very Important,"00: Inap,..",1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",1: Very Often,41: Good Health; Not..,1: Gotten Mostly What R Hoped for,32: Children/Family; Watch Children Grow up;..,2: Too Much Luck to Plan,2: Have to Change Plans,9: NA,"0: Inap,..",02: (B) Son/Stepson,9: NA,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,1: Yes,1: Yes,5: No,1: Yes,1: A Great Deal,1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,2,1: Very Close,2: Divorced,1: Yes,4,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,1: Yes,5: No,"0: Inap,..",5: No,1935,1: Yes,"0: Inap,..",1: Own Home or Buying it,12: Grade 12,"52: 12 Grades, Completed High School; ..",99: NA,98: DK,12: 12 Years,2: Mostly Blacks,1: Better,"10: $8,000-8,999",2,2: Female
1661,2: Some Satisf,1: Very Good,1: Most People Keep to Themselves and Dont..,2: Somewhat Satisfied,4: Very Dissatisfied,3: Not Too Serious,2: Fairly Well,51: Roman Catholic; Catholic,5: Less than Once a Year,"0: Inap,..","00: Inap,..",2: Often True,2: Often True,3: Not Too Often,"00: Inap,..",2: Fairly Often,61: General Relations with Family My..,1: Gotten Mostly What R Hoped for,22: Health; I Have Good..,9: NA,2: Have to Change Plans,5: No,"0: Inap,..",96: All/Most/Many,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,1: Yes,"0: Inap,..",2: Fairly Close,1: Married,1: Yes,3,1: Very Well,1: Very Well,1: Very Well,2: Pretty Happy,"0: Inap,..",1: Yes,1: Yes,"0: Inap,..",1: Yes,1949,1: Yes,"0: Inap,..",2: Paying Rent,12: Grade 12,"62: 12 Grades, Completed High School; ..",11,98: DK,98: DK,2: Mostly Blacks,2: Same,"17: $30,000 or More",6,1: Male
1662,1: Very Satisf,1: Very Good,3: Most People Talk or Visit a Lot with the..,1: Very Satisfied,3: Somewhat Dissatisfied,4: Not Serious at All,1: Very Well,80: None; No Preference,4: A Few Times a Year,4: Not Important at All,"00: Inap,..",9: NA,1: Almost Always True,5: Never,"00: Inap,..",1: Very Often,23: Personal Competence: Control/Motivation;..,1: Gotten Mostly What R Hoped for,"04: Job Good/Better; Job I Like, Including..",1: Plan Ahead,9: NA,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,9: NA,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,2,1: Very Close,1: Married,5: No,7,1: Very Well,1: Very Well,1: Very Well,1: Very Happy,5: Never,1: Yes,5: No,"0: Inap,..",5: No,1917,1: Yes,2: Democratic,1: Own Home or Buying it,17: College +,"82: Masters Degree: MS, ..",15,16,7,2: Mostly Blacks,2: Same,"17: $30,000 or More",80: R Is Only Child; or Coded 80 at QJ6(1),1: Male
1663,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,3: Somewhat Dissatisfied,4: Very Dissatisfied,1: Very Serious,3: Not So Well,"12: Baptist, NA Type",3: A Few Times a Month - 1 to 3 Times,2: Fairly Important,02: Companionship; Someone to Do Things With;..,2: Often True,2: Often True,3: Not Too Often,"00: Inap,..",1: Very Often,23: Personal Competence: Control/Motivation;..,1: Gotten Mostly What R Hoped for,02: Financial Security; Money; Be Rich; Well..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",04: (D) Father,1: Yes,3: Only a Little,1: Yes,4: Not Hard at All,1: Yes,1: Yes,5: No,5: No,5: No,1: Yes,2: A Lot,3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: One Time,1: Very Close,5: Never Married,5: No,"00: Inap,..",2: Fairly Well,"0: Inap,..","0: Inap,..",2: Pretty Happy,4: Hardly Ever,1: Yes,"0: Inap,..",5: No,5: No,1961,5: No,"0: Inap,..",5: R Lives with Family/Parents - NA Whether ..,13: College,"71: Some College (1-3 Years), No Degree (..",13: College,14,15,2: Mostly Blacks,1: Better,"17: $30,000 or More",01: First Born,1: Male
1664,3: Some Dissat,2: Fairly Good,8: DK,2: Somewhat Satisfied,3: Somewhat Dissatisfied,1: Very Serious,1: Very Well,"12: Baptist, NA Type",2: At Least Once a Week - 1 to 3 Times,1: Very Important,41: Financial Aid General or Unspecified;..,1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",2: Fairly Often,"21: General Satisfaction, Accomplishments,..",2: Gotten less than R Hoped for,12: Have a Nice/Better/Big House (Ownership..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",05: (E) Mother,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,"0: Inap,..",2: Fairly Close,2: Divorced,1: Yes,2,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,"0: Inap,..",1: Yes,1: Yes,"0: Inap,..",5: No,1943,1: Yes,3: Neither,1: Own Home or Buying it,13: College,"71: Some College (1-3 Years), No Degree (..",99: NA,7,8,2: Mostly Blacks,2: Same,"13: $12,000-14,999",01: First Born,2: Female
1665,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,2: Somewhat Satisfied,9: NA,8: DK,8: DK,"12: Baptist, NA Type",3: A Few Times a Month - 1 to 3 Times,2: Fairly Important,"00: Inap,..",3: Not Often True,2: Often True,3: Not Too Often,"00: Inap,..",2: Fairly Often,61: General Relations with Family My..,2: Gotten less than R Hoped for,"04: Job Good/Better; Job I Like, Including..",2: Too Much Luck to Plan,1: Carry out Way Expected,5: No,"0: Inap,..",05: (E) Mother,1: Yes,2: A Lot,1: Yes,3: Not Too Hard,1: Yes,1: Yes,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,1: Yes,1: One Time,2: Fairly Close,5: Never Married,1: Yes,01: One Child,2: Fairly Well,"0: Inap,..",2: Fairly Well,2: Pretty Happy,5: Never,5: No,5: No,"0: Inap,..",1: Yes,1954,5: No,3: Neither,2: Paying Rent,12: Grade 12,"52: 12 Grades, Completed High School; ..","96: Inap,..",10,8,2: Mostly Blacks,1: Better,"09: $7,000-7,999",9,2: Female
1666,1: Very Satisf,1: Very Good,2: Some People Keep to Themselves but Others..,9: NA,9: NA,8: DK,8: DK,26: Pentecostal or Assembly of God,2: At Least Once a Week - 1 to 3 Times,1: Very Important,"58: Help if Sickness or Death in Family, Not..",1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",1: Very Often,41: Good Health; Not..,2: Gotten less than R Hoped for,32: Children/Family; Watch Children Grow up;..,1: Plan Ahead,2: Have to Change Plans,5: No,"0: Inap,..",02: (B) Son/Stepson,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,"0: Inap,..",1: Very Close,2: Divorced,5: No,01: One Child,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,1: Yes,5: No,"0: Inap,..",1: Yes,1927,1: Yes,"0: Inap,..",1: Own Home or Buying it,16,"81: Bachelors Degree (Except LLB, JD): BS, ..",99: NA,8,8,3: About Half Blacks,1: Better,"16: $25,000-29,999",3,2: Female
1667,2: Some Satisf,1: Very Good,2: Some People Keep to Themselves but Others..,1: Very Satisfied,3: Somewhat Dissatisfied,4: Not Serious at All,2: Fairly Well,70: Islam,5: Less than Once a Year,"0: Inap,..","00: Inap,..",1: Almost Always True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",2: Fairly Often,16: General or Overall Self-Images: Im a..,1: Gotten Mostly What R Hoped for,03: Education,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",96: All/Most/Many,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: Very Close,1: Married,1: Yes,5,9: NA,1: Very Well,1: Very Well,2: Pretty Happy,"0: Inap,..",1: Yes,1: Yes,"0: Inap,..",1: Yes,1951,1: Yes,"0: Inap,..",1: Own Home or Buying it,13: College,"71: Some College (1-3 Years), No Degree (..",16,8,8,3: About Half Blacks,2: Same,"16: $25,000-29,999",7,2: Female
1668,3: Some Dissat,2: Fairly Good,3: Most People Talk or Visit a Lot with the..,2: Somewhat Satisfied,2: Somewhat Satisfied,1: Very Serious,3: Not So Well,51: Roman Catholic; Catholic,4: A Few Times a Year,2: Fairly Important,"00: Inap,..",2: Often True,2: Often True,3: Not Too Often,"00: Inap,..",2: Fairly Often,"62: Being a (Good) Parent, Providing for..",2: Gotten less than R Hoped for,03: Education,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",05: (E) Mother,1: Yes,1: A Great Deal,1: Yes,1: Very Hard,1: Yes,5: No,1: Yes,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",7: Seven Times or More,1: Very Close,3: Separated,1: Yes,3,4: Not Well at All,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,1: Yes,1: Yes,"0: Inap,..",1: Yes,1950,1: Yes,"0: Inap,..",2: Paying Rent,13: College,"71: Some College (1-3 Years), No Degree (..",14,98: DK,12: 12 Years,4: Mostly Whites,3: Worse,"15: $20,000-24,999",01: First Born,2: Female
1669,1: Very Satisf,3: Fairly Bad,1: Most People Keep to Themselves and Dont..,2: Somewhat Satisfied,1: Very Satisfied,1: Very Serious,1: Very Well,"12: Baptist, NA Type",5: Less than Once a Year,"0: Inap,..","00: Inap,..",1: Almost Always True,1: Almost Always True,5: Never,"00: Inap,..",1: Very Often,31: Education; Did/Doing Well in School Im a..,1: Gotten Mostly What R Hoped for,"01: Achievement, General: Success; Be..",1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",04: (D) Father,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,1: Yes,1: A Great Deal,1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,"0: Inap,..",1: Very Close,5: Never Married,5: No,"00: Inap,..",1: Very Well,"0: Inap,..","0: Inap,..",1: Very Happy,"0: Inap,..",5: No,"0: Inap,..",5: No,1: Yes,1955,1: Yes,"0: Inap,..",2: Paying Rent,15,"71: Some College (1-3 Years), No Degree (..",13: College,17: 17 Years,12: 12 Years,5: Almost All Whites,1: Better,"15: $20,000-24,999",2,1: Male
1670,3: Some Dissat,2: Fairly Good,1: Most People Keep to Themselves and Dont..,3: Somewhat Dissatisfied,8: DK,2: Fairly Serious,8: DK,80: None; No Preference,4: A Few Times a Year,2: Fairly Important,02: Companionship; Someone to Do Things With;..,1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",2: Fairly Often,"62: Being a (Good) Parent, Providing for..",1: Gotten Mostly What R Hoped for,32: Children/Family; Watch Children Grow up;..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",06: (F) Brother,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",4: Very Dissatisfied,5: No,"0: Inap,..",4: Not Close at All,5: Never Married,1: Yes,01: One Child,2: Fairly Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,1: Yes,9: NA,"0: Inap,..",5: No,1949,5: No,"0: Inap,..",2: Paying Rent,13: College,"71: Some College (1-3 Years), No Degree (..",12: Grade 12,98: DK,98: DK,2: Mostly Blacks,3: Worse,"14: $15,000-19,999",2,2: Female
1671,2: Some Satisf,3: Fairly Bad,3: Most People Talk or Visit a Lot with the..,3: Somewhat Dissatisfied,4: Very Dissatisfied,1: Very Serious,4: Not Well at All,20: Apostolic,3: A Few Times a Month - 1 to 3 Times,2: Fairly Important,01: Gives Advice; Help Solve Problems; Talk..,2: Often True,2: Often True,2: Fairly Often,23: Lack of Personal Control/Procrastination;..,1: Very Often,42: Survival/Longevity One Thing I Am..,1: Gotten Mostly What R Hoped for,31: Marriage (Children or Family Not..,2: Too Much Luck to Plan,2: Have to Change Plans,1: Yes,1: A Great Deal,05: (E) Mother,1: Yes,3: Only a Little,1: Yes,3: Not Too Hard,1: Yes,1: Yes,5: No,5: No,5: No,1: Yes,3: Only a Little,3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: One Time,3: Not Too Close,5: Never Married,5: No,2,1: Very Well,"0: Inap,..",1: Very Well,3: Not Too Happy,1: Very Often,5: No,5: No,"0: Inap,..",5: No,1960,5: No,"0: Inap,..",2: Paying Rent,11,"32: 10-11 Grades, No Other Schooling: or ..",99: NA,96: No Father/Father Died and No Codeable ..,98: DK,2: Mostly Blacks,2: Same,02: $001-999,7,2: Female
1672,2: Some Satisf,3: Fairly Bad,2: Some People Keep to Themselves but Others..,3: Somewhat Dissatisfied,2: Somewhat Satisfied,1: Very Serious,3: Not So Well,80: None; No Preference,4: A Few Times a Year,3: Not Too Important,"00: Inap,..",2: Often True,2: Often True,2: Fairly Often,51: Dont Get along with Others When I Have..,2: Fairly Often,16: General or Overall Self-Images: Im a..,2: Gotten less than R Hoped for,02: Financial Security; Money; Be Rich; Well..,2: Too Much Luck to Plan,1: Carry out Way Expected,5: No,"0: Inap,..",06: (F) Brother,5: No,"0: Inap,..",5: No,9: NA,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: Very Close,3: Separated,1: Yes,6,3: Not Too Well,"0: Inap,..",1: Very Well,2: Pretty Happy,"0: Inap,..",1: Yes,1: Yes,"0: Inap,..",1: Yes,1928,5: No,"0: Inap,..",2: Paying Rent,11,"32: 10-11 Grades, No Other Schooling: or ..",12: Grade 12,98: DK,12: 12 Years,1: All Blacks,2: Same,01: $000,2,1: Male
1673,1: Very Satisf,2: Fairly Good,3: Most People Talk or Visit a Lot with the..,4: Very Dissatisfied,8: DK,1: Very Serious,1: Very Well,"14: Methodist, (Except Code 11)",2: At Least Once a Week - 1 to 3 Times,1: Very Important,"00: Inap,..",1: Almost Always True,1: Almost Always True,5: Never,"00: Inap,..",1: Very Often,42: Survival/Longevity One Thing I Am..,1: Gotten Mostly What R Hoped for,22: Health; I Have Good..,1: Plan Ahead,2: Have to Change Plans,5: No,"0: Inap,..",02: (B) Son/Stepson,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,"0: Inap,..",1: Very Close,5: Never Married,1: Yes,01: One Child,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,"0: Inap,..",1: Yes,5: No,"0: Inap,..",5: No,1912,1: Yes,"0: Inap,..",2: Paying Rent,15,"71: Some College (1-3 Years), No Degree (..","96: Inap,..",12: 12 Years,12: 12 Years,1: All Blacks,1: Better,99: NA,50: Last Born; Youngest,2: Female
1674,2: Some Satisf,3: Fairly Bad,2: Some People Keep to Themselves but Others..,3: Somewhat Dissatisfied,4: Very Dissatisfied,1: Very Serious,3: Not So Well,80: None; No Preference,4: A Few Times a Year,3: Not Too Important,"00: Inap,..",2: Often True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",1: Very Often,34: Employment Am Working; Have a..,1: Gotten Mostly What R Hoped for,"04: Job Good/Better; Job I Like, Including..",1: Plan Ahead,2: Have to Change Plans,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,5: No,"0: Inap,..",1: Yes,3: Not Too Hard,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,1: One Time,2: Fairly Close,5: Never Married,1: Yes,"00: Inap,..",1: Very Well,"0: Inap,..","0: Inap,..",2: Pretty Happy,5: Never,5: No,"0: Inap,..",5: No,5: No,1959,5: No,"0: Inap,..",2: Paying Rent,13: College,"71: Some College (1-3 Years), No Degree (..",99: NA,12: 12 Years,12: 12 Years,1: All Blacks,2: Same,"10: $8,000-8,999",80: R Is Only Child; or Coded 80 at QJ6(1),1: Male
1675,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,3: Somewhat Dissatisfied,2: Somewhat Satisfied,1: Very Serious,2: Fairly Well,"12: Baptist, NA Type",2: At Least Once a Week - 1 to 3 Times,1: Very Important,"00: Inap,..",1: Almost Always True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",1: Very Often,16: General or Overall Self-Images: Im a..,1: Gotten Mostly What R Hoped for,31: Marriage (Children or Family Not..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",05: (E) Mother,5: No,"0: Inap,..",1: Yes,3: Not Too Hard,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,1: One Time,1: Very Close,2: Divorced,1: Yes,2,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,1: Yes,5: No,"0: Inap,..",5: No,1953,1: Yes,"0: Inap,..",2: Paying Rent,12: Grade 12,"52: 12 Grades, Completed High School; ..",11,98: DK,12: 12 Years,2: Mostly Blacks,1: Better,"15: $20,000-24,999",01: First Born,2: Female
1676,2: Some Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,2: Somewhat Satisfied,1: Very Satisfied,4: Not Serious at All,1: Very Well,24: Fundamentalist Baptist: Include Primitive..,3: A Few Times a Month - 1 to 3 Times,1: Very Important,"00: Inap,..",1: Almost Always True,2: Often True,1: Very Often,41: Poor Health; Illness When I Have Pains I..,1: Very Often,42: Survival/Longevity One Thing I Am..,2: Gotten less than R Hoped for,02: Financial Security; Money; Be Rich; Well..,2: Too Much Luck to Plan,2: Have to Change Plans,1: Yes,1: A Great Deal,01: (A) Husband/Wife/Partner,1: Yes,3: Only a Little,1: Yes,3: Not Too Hard,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",2,1: Very Close,1: Married,5: No,"00: Inap,..",1: Very Well,1: Very Well,"0: Inap,..",1: Very Happy,5: Never,5: No,"0: Inap,..",1: Yes,9: NA,1911,5: No,9: NA,2: Paying Rent,6,"11: 1-6 Grades, No Other Schooling; Grade ..",10,98: DK,98: DK,1: All Blacks,1: Better,"04: $2,000-2,999",7,2: Female
1677,1: Very Satisf,2: Fairly Good,3: Most People Talk or Visit a Lot with the..,1: Very Satisfied,8: DK,1: Very Serious,2: Fairly Well,"12: Baptist, NA Type",1: Nearly Everyday - 4 or More Times a Week,1: Very Important,02: Companionship; Someone to Do Things With;..,1: Almost Always True,1: Almost Always True,5: Never,"00: Inap,..",1: Very Often,41: Good Health; Not..,1: Gotten Mostly What R Hoped for,"01: Achievement, General: Success; Be..",2: Too Much Luck to Plan,1: Carry out Way Expected,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,1: One Time,1: Very Close,1: Married,1: Yes,2,1: Very Well,1: Very Well,1: Very Well,1: Very Happy,"0: Inap,..",5: No,5: No,"0: Inap,..",5: No,1950,5: No,"0: Inap,..",1: Own Home or Buying it,13: College,"71: Some College (1-3 Years), No Degree (..",12: Grade 12,98: DK,98: DK,2: Mostly Blacks,1: Better,"10: $8,000-8,999",9,1: Male
1678,4: Very Dissat,2: Fairly Good,1: Most People Keep to Themselves and Dont..,3: Somewhat Dissatisfied,4: Very Dissatisfied,2: Fairly Serious,8: DK,80: None; No Preference,5: Less than Once a Year,"0: Inap,..","00: Inap,..",1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",2: Fairly Often,23: Personal Competence: Control/Motivation;..,2: Gotten less than R Hoped for,03: Education,3: Both; in-Between,2: Have to Change Plans,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,1: Yes,3: Only a Little,5: No,2: Fairly Hard,1: Yes,1: Yes,1: Yes,5: No,5: No,1: Yes,2: A Lot,2: Laid off,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",2: Fairly Close,5: Never Married,5: No,"00: Inap,..",1: Very Well,"0: Inap,..","0: Inap,..",2: Pretty Happy,3: Not Too Often,5: No,"0: Inap,..",1: Yes,1: Yes,1955,1: Yes,"0: Inap,..",2: Paying Rent,16,"81: Bachelors Degree (Except LLB, JD): BS, ..",12: Grade 12,12: 12 Years,6,4: Mostly Whites,2: Same,98: DK,2,2: Female
1679,3: Some Dissat,2: Fairly Good,2: Some People Keep to Themselves but Others..,2: Somewhat Satisfied,4: Very Dissatisfied,1: Very Serious,2: Fairly Well,"12: Baptist, NA Type",2: At Least Once a Week - 1 to 3 Times,1: Very Important,90: Help Given If/When/Because Ive Been Sick ..,1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",2: Fairly Often,41: Good Health; Not..,1: Gotten Mostly What R Hoped for,22: Health; I Have Good..,2: Too Much Luck to Plan,2: Have to Change Plans,1: Yes,1: A Great Deal,09: (I) Friend,5: No,"0: Inap,..",1: Yes,3: Not Too Hard,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",2,1: Very Close,4: Widowed,5: No,01: One Child,1: Very Well,"0: Inap,..","0: Inap,..",3: Not Too Happy,5: Never,5: No,1: Yes,"0: Inap,..",5: No,1909,5: No,3: Neither,2: Paying Rent,9,99: NA,"96: Inap,..",99: NA,10,1: All Blacks,2: Same,98: DK,50: Last Born; Youngest,2: Female
